new_id,TwitchName
8753,summonersinnlive
7787,gronkh
2498,ungespielt
3234,miss_rage
2684,royalphunk
1638,moondye7
2145,pietsmiet
2816,shlorox
4042,bibaboy
1550,emero
1664,broeki1
3828,herrdekay
3023,ilovecookiiezz
5421,monstersandexplosions
5145,stevicules
9057,hc_dizee
1276,mastertay
3363,lpmassive
6522,syrenia
7802,cirouss
3722,nookyyy
2234,mori09tv
6451,baudusau420
5342,debitorlp
4038,biberbros
4912,h0llylp
8782,zander
7913,cmdkrieger
9340,back2warcraft
9156,affenklappe
5834,youbetterknowme
7280,bastighg
7867,vanioneu
6393,taketvblack
2281,theenclase
7715,bruugar
8406,cnotbusch
5117,battletaure
7208,lessqqll
4121,veni
8992,hornisse86
721,maihopawango
3352,zombey
8554,suishomaru
2998,vengaard
6193,sephiron
3955,kravitz7
1490,wolverous
6281,messirolive
5798,honeyball
7980,norddeutscherjunge
6539,
343,
9224,
2402,
3115,
7357,
2839,
1235,
2425,
4527,
3617,
2172,
7125,
9227,
4008,
7477,
680,
4918,
1412,
3900,
5089,
6270,
2938,
9060,
6366,
3663,
3223,
7286,
7275,
4751,
7788,
3378,
2032,
5474,
3340,
4158,
7011,
8425,
7496,
3126,
4348,
5287,
3328,
8939,
6073,
5923,
5519,
1451,
8127,
